23.08.2023 22:01:29.838 [restartedMain] INFO  o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
23.08.2023 22:01:30.137 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.08.2023 22:01:30.141 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 22:01:30.151 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 22:01:30.151 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 22:01:30.455 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.08.2023 22:01:30.731 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@11f685d0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@339208ba, org.springframework.security.web.context.SecurityContextPersistenceFilter@22fd91c2, org.springframework.security.web.header.HeaderWriterFilter@6094628, org.springframework.web.filter.CorsFilter@4dc2f318, org.springframework.security.web.authentication.logout.LogoutFilter@818662e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@77cab18d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4478c7d4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@799a4b48, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@465e9971, org.springframework.security.web.session.SessionManagementFilter@1105ddb, org.springframework.security.web.access.ExceptionTranslationFilter@413ed77f, org.springframework.security.web.access.intercept.AuthorizationFilter@13b4cf96]
23.08.2023 22:01:30.875 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
23.08.2023 22:01:30.889 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23.08.2023 22:01:30.899 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23.08.2023 22:01:30.906 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.604 seconds (JVM running for 2.997)
23.08.2023 22:01:30.906 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.604 seconds (JVM running for 2.997)
23.08.2023 22:01:58.245 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 22:01:58.247 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 22:01:58.249 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
